model_id,mean_residual_deviance,rmse,mse,mae,rmsle
DRF_1_AutoML_20190416_102359,2.68242e+10,163781,2.68242e+10,84240.3,0.201843
DRF_1_AutoML_20190416_112303,2.69687e+10,164222,2.69687e+10,83523.4,0.200045
DRF_1_AutoML_20190415_205714,2.61698e+10,161771,2.61698e+10,83389,0.200014
DRF_1_AutoML_20190415_212612,2.6827e+10,163790,2.6827e+10,83899.9,0.200731
DRF_1_AutoML_20190415_211555,2.79403e+10,167153,2.79403e+10,84201,0.20076
DeepLearning_1_AutoML_20190415_212612,2.00119e+10,141464,2.00119e+10,84587.3,0.206921
DeepLearning_1_AutoML_20190416_102359,2.06752e+10,143789,2.06752e+10,85999.9,0.212836
DeepLearning_grid_1_AutoML_20190416_102359_model_1,2.42318e+10,155666,2.42318e+10,93651.4,nan
DeepLearning_grid_1_AutoML_20190416_102359_model_2,2.43735e+10,156120,2.43735e+10,89142.7,0.210536
DeepLearning_grid_1_AutoML_20190416_102359_model_3,3.54966e+10,188405,3.54966e+10,149634,0.382594
DeepLearning_1_AutoML_20190416_112303,1.87633e+10,136979,1.87633e+10,82113.8,0.202561
DeepLearning_grid_1_AutoML_20190416_112303_model_1,2.26044e+10,150348,2.26044e+10,87370.5,nan
DeepLearning_grid_1_AutoML_20190416_112303_model_2,3.48627e+10,186716,3.48627e+10,115077,0.260986
DeepLearning_grid_1_AutoML_20190416_112303_model_3,3.5139e+10,187454,3.5139e+10,117240,nan
DeepLearning_grid_1_AutoML_20190416_112303_model_4,5.41442e+10,232689,5.41442e+10,180727,0.460172
GLM_grid_1_AutoML_20190416_112303_model_1,1.34955e+11,367363,1.34955e+11,234075,0.548253
StackedEnsemble_AllModels_AutoML_20190416_102359,1.28433e+11,358375,1.28433e+11,227757,0.533376
StackedEnsemble_BestOfFamily_AutoML_20190416_102359,1.32847e+11,364482,1.32847e+11,232074,0.543471
StackedEnsemble_AllModels_AutoML_20190416_112303,1.26739e+11,356004,1.26739e+11,226016,0.529407
StackedEnsemble_BestOfFamily_AutoML_20190416_112303,1.32832e+11,364461,1.32832e+11,232061,0.543442
XRT_1_AutoML_20190415_212612,1.76265e+10,132765,1.76265e+10,73268.3,0.183189
XRT_1_AutoML_20190416_102359,1.83029e+10,135288,1.83029e+10,73472.3,0.184148
XRT_1_AutoML_20190416_112303,1.76809e+10,132969,1.76809e+10,73008.3,0.183129
GBM_grid_1_AutoML_20190418_165439_model_1,2.04256e+10,142918,2.04256e+10,76652.1,0.186732
GBM_grid_1_AutoML_20190418_172432_model_2,2.00594e+10,141631,2.00594e+10,75119.6,0.183657
GBM_grid_1_AutoML_20190418_165439_model_2,8.25032e+10,287234,8.25032e+10,176352,0.421342
GBM_grid_1_AutoML_20190418_163635_model_1,1.28663e+11,358697,1.28663e+11,227769,0.533564
GBM_grid_1_AutoML_20190418_172432_model_4,2.2196e+10,148983,2.2196e+10,81623.4,0.197885
GBM_1_AutoML_20190418_163635,2.40809e+10,155180,2.40809e+10,80867.7,0.193501
GBM_1_AutoML_20190418_181012,2.14993e+10,146626,2.14993e+10,78066.7,0.189221
GBM_3_AutoML_20190418_163635,2.52646e+10,158948,2.52646e+10,81713.8,0.195259
GBM_3_AutoML_20190418_165439,2.38267e+10,154359,2.38267e+10,80473.1,0.193682
GBM_1_AutoML_20190418_165439,2.36523e+10,153793,2.36523e+10,79508.1,0.19084